paciente,tipo_celular,comparacion,gen,valor_expresion_normalizada,log2FC,padj
GSM6614362_CD-3,Colonocytes,UC_vs_HC,NDUFB8,4.8897,-1.1001,0.04233
GSM6614363_CD-4,Colonocytes,UC_vs_HC,NDUFB8,4.2488,-1.1001,0.04233
GSM6614364_CD-5,Colonocytes,UC_vs_HC,NDUFB8,5.381,-1.1001,0.04233
GSM6614365_CD-6,Colonocytes,UC_vs_HC,NDUFB8,5.2266,-1.1001,0.04233
GSM6614348_HC-1,Colonocytes,UC_vs_HC,ATP5MD,8.1322,-1.5454,0.0006406
GSM6614349_HC-2,Colonocytes,UC_vs_HC,ATP5MD,7.6029,-1.5454,0.0006406
GSM6614350_HC-3,Colonocytes,UC_vs_HC,ATP5MD,6.9318,-1.5454,0.0006406
GSM6614351_HC-4,Colonocytes,UC_vs_HC,ATP5MD,7.7382,-1.5454,0.0006406
GSM6614352_HC-5,Colonocytes,UC_vs_HC,ATP5MD,7.6459,-1.5454,0.0006406
GSM6614353_HC-6,Colonocytes,UC_vs_HC,ATP5MD,7.2706,-1.5454,0.0006406
GSM6614355_UC-2,Colonocytes,UC_vs_HC,ATP5MD,6.0161,-1.5454,0.0006406
GSM6614356_UC-3,Colonocytes,UC_vs_HC,ATP5MD,4.1357,-1.5454,0.0006406
GSM6614357_UC-4,Colonocytes,UC_vs_HC,ATP5MD,5.7442,-1.5454,0.0006406
GSM6614358_UC-5,Colonocytes,UC_vs_HC,ATP5MD,6.0947,-1.5454,0.0006406
GSM6614359_UC-6,Colonocytes,UC_vs_HC,ATP5MD,6.2753,-1.5454,0.0006406
GSM6614360_CD-1,Colonocytes,UC_vs_HC,ATP5MD,7.3779,-1.5454,0.0006406
GSM6614361_CD-2,Colonocytes,UC_vs_HC,ATP5MD,7.5568,-1.5454,0.0006406
GSM6614362_CD-3,Colonocytes,UC_vs_HC,ATP5MD,6.3285,-1.5454,0.0006406
GSM6614363_CD-4,Colonocytes,UC_vs_HC,ATP5MD,6.3809,-1.5454,0.0006406
GSM6614364_CD-5,Colonocytes,UC_vs_HC,ATP5MD,7.9093,-1.5454,0.0006406
GSM6614365_CD-6,Colonocytes,UC_vs_HC,ATP5MD,7.169,-1.5454,0.0006406
GSM6614348_HC-1,Colonocytes,UC_vs_HC,PDCD4,6.547,-1.8747,6.1804e-06
GSM6614349_HC-2,Colonocytes,UC_vs_HC,PDCD4,6.9404,-1.8747,6.1804e-06
GSM6614350_HC-3,Colonocytes,UC_vs_HC,PDCD4,6.7263,-1.8747,6.1804e-06
GSM6614351_HC-4,Colonocytes,UC_vs_HC,PDCD4,7.4066,-1.8747,6.1804e-06
GSM6614352_HC-5,Colonocytes,UC_vs_HC,PDCD4,6.9242,-1.8747,6.1804e-06
GSM6614353_HC-6,Colonocytes,UC_vs_HC,PDCD4,7.5376,-1.8747,6.1804e-06
GSM6614355_UC-2,Colonocytes,UC_vs_HC,PDCD4,5.4261,-1.8747,6.1804e-06
GSM6614356_UC-3,Colonocytes,UC_vs_HC,PDCD4,3.2156,-1.8747,6.1804e-06
GSM6614357_UC-4,Colonocytes,UC_vs_HC,PDCD4,4.3733,-1.8747,6.1804e-06
GSM6614358_UC-5,Colonocytes,UC_vs_HC,PDCD4,5.1156,-1.8747,6.1804e-06
GSM6614359_UC-6,Colonocytes,UC_vs_HC,PDCD4,5.5966,-1.8747,6.1804e-06
GSM6614360_CD-1,Colonocytes,UC_vs_HC,PDCD4,6.0533,-1.8747,6.1804e-06
